d,All,All,All,All+Gloss,All+Gloss,All+Gloss,Freq,Freq,Freq,Gloss,Gloss,Gloss,Gloss+Freq,Gloss+Freq,Gloss+Freq,All+Freq,All+Freq,All+Freq,All+Gloss+Freq,All+Gloss+Freq,All+Gloss+Freq
0,2567,2.02703,1266.3848,3347,2.02609,1651.9503,1598,2.01538,792.9026,4446,2.02521,2195.3279,4281,2.02479,2114.2933,2918,2.02632,1440.0490,3423,2.02564,1689.8363
5,1754,2.02703,865.3054,1908,2.02727,941.1672,1223,2.01538,606.8335,2191,3.02655,723.9266,2130,2.02586,1051.4053,1865,2.02679,920.1743,1947,2.02655,960.7461
10,1250,2.02752,616.5167,1307,2.02727,644.7094,900,2.01538,446.5659,1423,2.02655,702.1786,1387,2.02586,684.6475,1289,2.02727,635.8305,1316,2.02655,649.3795
15,971,2.02752,478.9102,995,2.02727,490.8078,715,2.01538,354.7718,1064,2.02679,524.9681,1031,2.02609,508.8619,984,2.02727,485.3818,998,2.02655,492.4626
20,800,2.02778,394.5201,814,2.02752,401.4757,590,2.01538,292.7488,854,2.02679,421.3559,833,2.02609,411.1367,804,2.02752,396.5436,820,2.02679,404.5806
25,696,2.02804,343.1885,694,2.02778,342.2462,494,2.01587,245.0555,716,2.02703,353.2261,700,2.02632,345.4538,684,2.02778,337.3147,698,2.02703,344.3462
30,628,2.02804,309.6586,622,2.02778,306.7394,446,2.01639,221.1874,634,2.02752,312.6973,625,2.02632,308.4409,616,2.02778,303.7805,624,2.02703,307.8395
35,555,2.02804,273.6632,556,2.02778,274.1915,404,2,202.0000,565,2.02778,278.6298,558,2.02632,275.3761,541,2.02804,266.7600,555,2.02703,273.7996
40,509,2.02804,250.9812,502,2.02778,247.5614,363,2,181.5000,508,2.02778,250.5203,499,2.02632,246.2592,498,2.02804,245.5573,348,2.02804,171.5942
45,463,2.02804,228.2992,465,2.02778,229.3148,332,2,166.0000,466,2.02778,229.8080,460,2.02632,227.0125,454,2.02804,223.8615,466,2.02703,229.8930
50,430,2.02804,212.0274,431,2.02778,212.5477,315,2,157.5000,429,2.02778,211.5614,423,2.02679,208.7044,424,2.02804,209.0689,432,2.02703,213.1197
55,404,2.02804,199.2071,408,2.02778,201.2053,294,2,147.0000,404,2.02778,199.2327,401,2.02679,197.8498,400,2.02804,197.2348,407,2.02703,200.7864
60,384,2.02857,189.2959,392,2.0283,193.2653,281,2,140.5000,387,2.02778,190.8491,385,2.02679,189.9555,381,2.02857,187.8170,391,2.02752,192.8464
65,364,2.02913,179.3872,368,2.02885,181.3835,265,2,132.5000,363,2.0283,178.9676,362,2.02727,178.5653,365,2.02913,179.8800,369,2.02804,181.9491
70,341,2.02913,168.0523,347,2.02885,171.0329,249,2,124.5000,343,2.0283,169.1071,342,2.02727,168.6998,344,2.02913,169.5308,348,2.02804,171.5942
75,321,2.02913,158.1959,328,2.02885,161.6679,234,2,117.0000,325,2.0283,160.2327,322,2.02727,158.8343,326,2.02913,160.6600,329,2.02804,162.2256
80,307,2.02913,151.2964,315,2.02885,155.2604,222,2,111.0000,311,2.0283,153.3304,308,2.02727,151.9285,311,2.02913,153.2677,315,2.02804,155.3224
85,293,2.02913,144.3969,301,2.02885,148.3599,210,2,105.0000,297,2.0283,146.4280,294,2.02727,145.0226,298,2.02913,146.8610,301,2.02804,148.4192
90,287,2.02913,141.4399,292,2.02885,143.9239,204,2,102.0000,286,2.0283,141.0048,283,2.02727,139.5966,291,2.02913,143.4112,292,2.02804,143.9814
95,275,2.02941,135.5074,278,2.02913,137.0045,196,2,98.0000,273,2.0283,134.5955,270,2.02727,133.1840,280,2.02941,137.9711,279,2.0283,137.5536
100,264,2.02941,130.0871,267,2.02913,131.5835,191,2,95.5000,261,2.0283,128.6792,258,2.02727,127.2647,269,2.02941,132.5508,268,2.0283,132.1304
