sons,A vs G / A,A vs F / A,A vs A+G / A,A vs A+F / A,A vs G+F / A,A vs A+G+F / A,A vs G / G,G vs F / G,G vs A+G / G,G vs A+F / G,G vs G+F / G,G vs A+G+F / G,A vs F / F,G vs F / F,F vs A+G / F,F vs A+F / F,F vs G+F / F,F vs A+G+F / F,A vs A+G / A+G,G vs A+G / A+G,F vs A+G / A+G,A+G vs A+F / A+G,A+G vs G+F / A+G,A+G vs A+G+F / A+G,A vs A+F / A+F,G vs A+F / A+F,F vs A+F / A+F,A+G vs A+F / A+F,A+F vs G+F / A+F,A+F vs A+G+F / A+F,A vs G+F / G+F,G vs G+F / G+F,F vs G+F / G+F,A+G vs G+F / G+F,A+F vs G+F / G+F,G+F vs A+G+F / G+F,A vs A+G+F / A+G+F,G vs A+G+F / A+G+F,F vs A+G+F / A+G+F,A+F vs A+G+F / A+G+F,A+G vs A+G+F / A+G+F,G+F vs A+G+F / A+G+F
0,0.5436,0.1823,0.6645,0.8080,0.5634,0.6496,0.5436,0.2254,0.8392,0.6055,0.8943,0.8141,0.1823,0.2254,0.2351,0.2687,0.2620,0.2622,0.6645,0.8392,0.2351,0.7198,0.8381,0.9371,0.8080,0.6055,0.2687,0.7198,0.6680,0.7550,0.5634,0.8943,0.2620,0.8381,0.6680,0.8816,0.6496,0.8141,0.2622,0.7550,0.9371,0.8816
5,0.5583,0.1874,0.6740,0.8120,0.5781,0.6586,0.5583,0.2386,0.8497,0.6215,0.8976,0.8251,0.1874,0.2386,0.2455,0.2772,0.2751,0.2726,0.6740,0.8497,0.2455,0.7301,0.8500,0.9401,0.8120,0.6215,0.2772,0.7301,0.6842,0.7637,0.5781,0.8976,0.2751,0.8500,0.6842,0.8927,0.6586,0.8251,0.2726,0.7637,0.9401,0.8927
10,0.5660,0.1947,0.6783,0.8131,0.5850,0.6623,0.5660,0.2522,0.8566,0.6307,0.8983,0.8313,0.1947,0.2522,0.2584,0.2899,0.2901,0.2864,0.6783,0.8566,0.2584,0.7360,0.8577,0.9426,0.8131,0.6307,0.2899,0.7360,0.6941,0.7694,0.5850,0.8983,0.2901,0.8577,0.6941,0.8995,0.6623,0.8313,0.2864,0.7694,0.9426,0.8995
15,0.5678,0.2038,0.6790,0.8165,0.5900,0.6645,0.5678,0.2639,0.8599,0.6354,0.9009,0.8348,0.2038,0.2639,0.2700,0.3013,0.3012,0.2975,0.6790,0.8599,0.2700,0.7400,0.8637,0.9449,0.8165,0.6354,0.3013,0.7400,0.6988,0.7716,0.5900,0.9009,0.3012,0.8637,0.6988,0.9045,0.6645,0.8348,0.2975,0.7716,0.9449,0.9045
20,0.5693,0.2079,0.6801,0.8172,0.5925,0.6652,0.5693,0.2723,0.8618,0.6383,0.9016,0.8379,0.2079,0.2723,0.2763,0.3086,0.3087,0.3042,0.6801,0.8618,0.2763,0.7424,0.8675,0.9462,0.8172,0.6383,0.3086,0.7424,0.7026,0.7727,0.5925,0.9016,0.3087,0.8675,0.7026,0.9080,0.6652,0.8379,0.3042,0.7727,0.9462,0.9080
25,0.5664,0.2113,0.6772,0.8167,0.5905,0.6623,0.5664,0.2793,0.8613,0.6385,0.9016,0.8380,0.2113,0.2793,0.2825,0.3158,0.3154,0.3109,0.6772,0.8613,0.2825,0.7428,0.8687,0.9471,0.8167,0.6385,0.3158,0.7428,0.7036,0.7727,0.5905,0.9016,0.3154,0.8687,0.7036,0.9082,0.6623,0.8380,0.3109,0.7727,0.9471,0.9082
30,0.5667,0.2151,0.6774,0.8202,0.5915,0.6634,0.5667,0.2849,0.8621,0.6401,0.9001,0.8388,0.2151,0.2849,0.2877,0.3210,0.3212,0.3180,0.6774,0.8621,0.2877,0.7430,0.8699,0.9470,0.8202,0.6401,0.3210,0.7430,0.7056,0.7730,0.5915,0.9001,0.3212,0.8699,0.7056,0.9080,0.6634,0.8388,0.3180,0.7730,0.9470,0.9080
35,0.5665,0.2202,0.6750,0.8201,0.5913,0.6605,0.5665,0.2905,0.8634,0.6427,0.9016,0.8413,0.2202,0.2905,0.2941,0.3277,0.3267,0.3252,0.6750,0.8634,0.2941,0.7432,0.8718,0.9477,0.8201,0.6427,0.3277,0.7432,0.7084,0.7740,0.5913,0.9016,0.3267,0.8718,0.7084,0.9099,0.6605,0.8413,0.3252,0.7740,0.9477,0.9099
40,0.5662,0.2248,0.6741,0.8204,0.5914,0.6593,0.5662,0.2947,0.8647,0.6442,0.9008,0.8428,0.2248,0.2947,0.2989,0.3331,0.3322,0.3300,0.6741,0.8647,0.2989,0.7436,0.8728,0.9485,0.8204,0.6442,0.3331,0.7436,0.7108,0.7747,0.5914,0.9008,0.3322,0.8728,0.7108,0.9114,0.6593,0.8428,0.3300,0.7747,0.9485,0.9114
45,0.5638,0.2260,0.6719,0.8198,0.5880,0.6575,0.5638,0.2990,0.8641,0.6445,0.9026,0.8426,0.2260,0.2990,0.3036,0.3357,0.3345,0.3335,0.6719,0.8641,0.3036,0.7450,0.8746,0.9503,0.8198,0.6445,0.3357,0.7450,0.7096,0.7761,0.5880,0.9026,0.3345,0.8746,0.7096,0.9108,0.6575,0.8426,0.3335,0.7761,0.9503,0.9108
50,0.5625,0.2331,0.6721,0.8207,0.5865,0.6567,0.5625,0.3040,0.8631,0.6442,0.9019,0.8402,0.2331,0.3040,0.3095,0.3412,0.3393,0.3393,0.6721,0.8631,0.3095,0.7453,0.8725,0.9488,0.8207,0.6442,0.3412,0.7453,0.7110,0.7770,0.5865,0.9019,0.3393,0.8725,0.7110,0.9107,0.6567,0.8402,0.3393,0.7770,0.9488,0.9107
55,0.5616,0.2377,0.6726,0.8214,0.5864,0.6585,0.5616,0.3074,0.8636,0.6421,0.9037,0.8408,0.2377,0.3074,0.3125,0.3451,0.3431,0.3443,0.6726,0.8636,0.3125,0.7444,0.8715,0.9488,0.8214,0.6421,0.3451,0.7444,0.7096,0.7762,0.5864,0.9037,0.3431,0.8715,0.7096,0.9097,0.6585,0.8408,0.3443,0.7762,0.9488,0.9097
60,0.5640,0.2413,0.6721,0.8200,0.5886,0.6573,0.5640,0.3111,0.8676,0.6446,0.9059,0.8447,0.2413,0.3111,0.3161,0.3484,0.3465,0.3472,0.6721,0.8676,0.3161,0.7426,0.8755,0.9481,0.8200,0.6446,0.3484,0.7426,0.7122,0.7750,0.5886,0.9059,0.3465,0.8755,0.7122,0.9144,0.6573,0.8447,0.3472,0.7750,0.9481,0.9144
65,0.5607,0.2422,0.6687,0.8193,0.5840,0.6529,0.5607,0.3144,0.8686,0.6434,0.9073,0.8465,0.2422,0.3144,0.3187,0.3515,0.3506,0.3505,0.6687,0.8686,0.3187,0.7396,0.8746,0.9472,0.8193,0.6434,0.3515,0.7396,0.7097,0.7728,0.5840,0.9073,0.3506,0.8746,0.7097,0.9142,0.6529,0.8465,0.3505,0.7728,0.9472,0.9142
70,0.5590,0.2421,0.6678,0.8171,0.5824,0.6515,0.5590,0.3152,0.8683,0.6423,0.9060,0.8469,0.2421,0.3152,0.3208,0.3549,0.3526,0.3519,0.6678,0.8683,0.3208,0.7373,0.8742,0.9465,0.8171,0.6423,0.3549,0.7373,0.7084,0.7712,0.5824,0.9060,0.3526,0.8742,0.7084,0.9146,0.6515,0.8469,0.3519,0.7712,0.9465,0.9146
75,0.5597,0.2447,0.6665,0.8159,0.5814,0.6502,0.5597,0.3211,0.8721,0.6434,0.9044,0.8497,0.2447,0.3211,0.3274,0.3584,0.3589,0.3568,0.6665,0.8721,0.3274,0.7376,0.8771,0.9483,0.8159,0.6434,0.3584,0.7376,0.7087,0.7695,0.5814,0.9044,0.3589,0.8771,0.7087,0.9156,0.6502,0.8497,0.3568,0.7695,0.9483,0.9156
80,0.5606,0.2464,0.6691,0.8186,0.5826,0.6531,0.5606,0.3207,0.8707,0.6418,0.9057,0.8490,0.2464,0.3207,0.3269,0.3596,0.3587,0.3565,0.6691,0.8707,0.3269,0.7375,0.8760,0.9490,0.8186,0.6418,0.3596,0.7375,0.7064,0.7689,0.5826,0.9057,0.3587,0.8760,0.7064,0.9138,0.6531,0.8490,0.3565,0.7689,0.9490,0.9138
85,0.5544,0.2501,0.6645,0.8166,0.5775,0.6477,0.5544,0.3229,0.8691,0.6366,0.9037,0.8468,0.2501,0.3229,0.3309,0.3630,0.3632,0.3610,0.6645,0.8691,0.3309,0.7320,0.8740,0.9466,0.8166,0.6366,0.3630,0.7320,0.7034,0.7659,0.5775,0.9037,0.3632,0.8740,0.7034,0.9140,0.6477,0.8468,0.3610,0.7659,0.9466,0.9140
90,0.5564,0.2510,0.6653,0.8163,0.5785,0.6482,0.5564,0.3245,0.8708,0.6385,0.9047,0.8487,0.2510,0.3245,0.3326,0.3659,0.3655,0.3630,0.6653,0.8708,0.3326,0.7324,0.8752,0.9469,0.8163,0.6385,0.3659,0.7324,0.7043,0.7659,0.5785,0.9047,0.3655,0.8752,0.7043,0.9149,0.6482,0.8487,0.3630,0.7659,0.9469,0.9149
95,0.5565,0.2534,0.6648,0.8154,0.5754,0.6454,0.5565,0.3244,0.8702,0.6353,0.9030,0.8467,0.2534,0.3244,0.3332,0.3684,0.3666,0.3637,0.6648,0.8702,0.3332,0.7288,0.8734,0.9458,0.8154,0.6353,0.3684,0.7288,0.7016,0.7634,0.5754,0.9030,0.3666,0.8734,0.7016,0.9147,0.6454,0.8467,0.3637,0.7634,0.9458,0.9147
100,0.5545,0.2550,0.6635,0.8153,0.5748,0.6444,0.5545,0.3262,0.8684,0.6316,0.9025,0.8452,0.2550,0.3262,0.3351,0.3703,0.3686,0.3657,0.6635,0.8684,0.3351,0.7258,0.8729,0.9461,0.8153,0.6316,0.3703,0.7258,0.6986,0.7600,0.5748,0.9025,0.3686,0.8729,0.6986,0.9140,0.6444,0.8452,0.3657,0.7600,0.9461,0.9140
