sons,A vs G / A,A vs F / A,A vs A+G / A,A vs A+F / A,A vs G+F / A,A vs A+G+F / A,A vs G / G,G vs F / G,G vs A+G / G,G vs A+F / G,G vs G+F / G,G vs A+G+F / G,A vs F / F,G vs F / F,F vs A+G / F,F vs A+F / F,F vs G+F / F,F vs A+G+F / F,A vs A+G / A+G,G vs A+G / A+G,F vs A+G / A+G,A+G vs A+F / A+G,A+G vs G+F / A+G,A+G vs A+G+F / A+G,A vs A+F / A+F,G vs A+F / A+F,F vs A+F / A+F,A+G vs A+F / A+F,A+F vs G+F / A+F,A+F vs A+G+F / A+F,A vs G+F / G+F,G vs G+F / G+F,F vs G+F / G+F,A+G vs G+F / G+F,A+F vs G+F / G+F,G+F vs A+G+F / G+F,A vs A+G+F / A+G+F,G vs A+G+F / A+G+F,F vs A+G+F / A+G+F,A+F vs A+G+F / A+G+F,A+G vs A+G+F / A+G+F,G+F vs A+G+F / A+G+F
0,0.6369,0.2633,0.7378,0.8442,0.6525,0.7347,0.3677,0.2200,0.6878,0.4431,0.8722,0.6757,0.4230,0.6120,0.5601,0.6777,0.7353,0.6633,0.5659,0.9137,0.2674,0.6418,0.8856,0.9331,0.7426,0.6751,0.3711,0.7361,0.7550,0.8105,0.3913,0.9059,0.2745,0.6924,0.5146,0.7447,0.5510,0.8776,0.3097,0.6909,0.9124,0.9313
5,0.6625,0.3449,0.7520,0.8501,0.6745,0.7480,0.5304,0.3665,0.7978,0.5993,0.8932,0.7837,0.4947,0.6566,0.6239,0.7351,0.7686,0.7187,0.6913,0.9161,0.3999,0.7516,0.8931,0.9460,0.7995,0.7040,0.4820,0.7689,0.7716,0.8257,0.5554,0.9188,0.4413,0.8000,0.6756,0.8521,0.6739,0.8819,0.4515,0.7910,0.9271,0.9322
10,0.6752,0.3944,0.7688,0.8456,0.6824,0.7592,0.5931,0.4350,0.8349,0.6507,0.8974,0.8117,0.5478,0.6878,0.6689,0.7689,0.7967,0.7500,0.7353,0.9090,0.4606,0.7804,0.8837,0.9434,0.8200,0.7184,0.5369,0.7913,0.7812,0.8402,0.6150,0.9207,0.5169,0.8327,0.7260,0.8774,0.7211,0.8777,0.5129,0.8229,0.9369,0.9248
15,0.6663,0.4315,0.7673,0.8507,0.6797,0.7621,0.6081,0.4821,0.8430,0.6645,0.8985,0.8195,0.5860,0.7175,0.7063,0.7832,0.8154,0.7748,0.7487,0.9015,0.5075,0.7930,0.8814,0.9477,0.8394,0.7185,0.5691,0.8018,0.7754,0.8445,0.6402,0.9273,0.5655,0.8506,0.7401,0.8904,0.7415,0.8737,0.5551,0.8327,0.9449,0.9198
20,0.6650,0.4412,0.7675,0.8500,0.6850,0.7638,0.6230,0.5012,0.8571,0.6792,0.9028,0.8372,0.5983,0.7254,0.7186,0.7932,0.8237,0.7915,0.7543,0.8993,0.5209,0.7973,0.8857,0.9496,0.8458,0.7214,0.5821,0.8072,0.7836,0.8520,0.6579,0.9256,0.5834,0.8655,0.7563,0.9088,0.7451,0.8720,0.5695,0.8354,0.9427,0.9232
25,0.6566,0.4353,0.7615,0.8477,0.6796,0.7586,0.6383,0.5000,0.8673,0.6830,0.9036,0.8464,0.6134,0.7247,0.7267,0.7895,0.8239,0.7935,0.7637,0.8948,0.5173,0.7983,0.8862,0.9524,0.8626,0.7149,0.5702,0.8099,0.7792,0.8494,0.6757,0.9243,0.5814,0.8786,0.7614,0.9186,0.7564,0.8682,0.5616,0.8324,0.9470,0.9212
30,0.6592,0.4427,0.7627,0.8519,0.6847,0.7611,0.6530,0.5047,0.8785,0.6940,0.9101,0.8565,0.6233,0.7175,0.7287,0.7960,0.8184,0.7937,0.7701,0.8955,0.5225,0.8023,0.8907,0.9534,0.8685,0.7143,0.5763,0.8101,0.7792,0.8458,0.6880,0.9232,0.5840,0.8864,0.7680,0.9216,0.7660,0.8702,0.5673,0.8349,0.9503,0.9231
35,0.6667,0.4559,0.7694,0.8523,0.6919,0.7640,0.6549,0.5150,0.8832,0.6956,0.9150,0.8602,0.6262,0.7203,0.7327,0.7847,0.8144,0.7871,0.7680,0.8975,0.5324,0.7986,0.8957,0.9550,0.8743,0.7264,0.5860,0.8207,0.7893,0.8540,0.6882,0.9265,0.5896,0.8925,0.7652,0.9229,0.7640,0.8757,0.5730,0.8324,0.9568,0.9279
40,0.6601,0.4519,0.7662,0.8566,0.6837,0.7603,0.6614,0.5197,0.8819,0.7067,0.9094,0.8622,0.6336,0.7273,0.7355,0.7934,0.8209,0.7906,0.7769,0.8924,0.5319,0.8108,0.8904,0.9582,0.8755,0.7209,0.5783,0.8173,0.7811,0.8494,0.6974,0.9259,0.5972,0.8958,0.7796,0.9279,0.7709,0.8725,0.5717,0.8426,0.9582,0.9223
45,0.6674,0.4536,0.7775,0.8553,0.6911,0.7711,0.6631,0.5215,0.8884,0.7103,0.9120,0.8691,0.6325,0.7319,0.7470,0.7982,0.8313,0.8012,0.7742,0.8903,0.5333,0.8086,0.8903,0.9613,0.8722,0.7291,0.5837,0.8282,0.7930,0.8634,0.6957,0.9239,0.6000,0.9000,0.7826,0.9326,0.7661,0.8691,0.5708,0.8412,0.9592,0.9206
