sons,A vs G / A,A vs F / A,A vs A+G / A,A vs A+F / A,A vs G+F / A,A vs A+G+F / A,A vs G / G,G vs F / G,G vs A+G / G,G vs A+F / G,G vs G+F / G,G vs A+G+F / G,A vs F / F,G vs F / F,F vs A+G / F,F vs A+F / F,F vs G+F / F,F vs A+G+F / F,A vs A+G / A+G,G vs A+G / A+G,F vs A+G / A+G,A+G vs A+F / A+G,A+G vs G+F / A+G,A+G vs A+G+F / A+G,A vs A+F / A+F,G vs A+F / A+F,F vs A+F / A+F,A+G vs A+F / A+F,A+F vs G+F / A+F,A+F vs A+G+F / A+F,A vs G+F / G+F,G vs G+F / G+F,F vs G+F / G+F,A+G vs G+F / G+F,A+F vs G+F / G+F,G+F vs A+G+F / G+F,A vs A+G+F / A+G+F,G vs A+G+F / A+G+F,F vs A+G+F / A+G+F,A+F vs A+G+F / A+G+F,A+G vs A+G+F / A+G+F,G+F vs A+G+F / A+G+F
0,0.7910,0.7262,0.8626,0.8400,0.8037,0.8342,0.5521,0.5473,0.7336,0.5842,0.7377,0.6712,0.7536,0.8136,0.8014,0.9063,0.9134,0.8880,0.7610,0.9273,0.6814,0.7602,0.8597,0.8649,0.8075,0.8047,0.8396,0.8283,0.9066,0.9245,0.6802,0.8945,0.7450,0.8248,0.7982,0.8937,0.7644,0.8813,0.7842,0.8813,0.8984,0.9676
5,0.8865,0.8865,0.9298,0.9171,0.9094,0.9235,0.7791,0.7982,0.8834,0.7892,0.8812,0.8374,0.8612,0.8823,0.8773,0.9504,0.9517,0.9343,0.8869,0.9586,0.8613,0.8747,0.9246,0.9246,0.9044,0.8855,0.9648,0.9044,0.9560,0.9648,0.8398,0.9258,0.9046,0.8952,0.8952,0.9411,0.8938,0.9222,0.9309,0.9469,0.9383,0.9864
10,0.9192,0.9278,0.9481,0.9437,0.9336,0.9452,0.8631,0.8780,0.9336,0.8645,0.9309,0.9011,0.9108,0.9178,0.9178,0.9632,0.9632,0.9518,0.9267,0.9718,0.9140,0.9168,0.9506,0.9535,0.9465,0.9233,0.9841,0.9407,0.9667,0.9754,0.8974,0.9528,0.9431,0.9348,0.9265,0.9612,0.9344,0.9486,0.9586,0.9615,0.9643,0.9886
15,0.9428,0.9505,0.9614,0.9629,0.9505,0.9598,0.8984,0.9161,0.9543,0.9043,0.9514,0.9323,0.9347,0.9453,0.9407,0.9711,0.9772,0.9696,0.9424,0.9818,0.9379,0.9379,0.9636,0.9652,0.9629,0.9490,0.9876,0.9567,0.9768,0.9845,0.9220,0.9685,0.9640,0.9535,0.9475,0.9745,0.9466,0.9649,0.9726,0.9710,0.9710,0.9909
20,0.9569,0.9697,0.9729,0.9793,0.9697,0.9761,0.9217,0.9401,0.9693,0.9324,0.9662,0.9508,0.9456,0.9518,0.9518,0.9798,0.9813,0.9767,0.9516,0.9844,0.9548,0.9548,0.9735,0.9735,0.9654,0.9544,0.9906,0.9623,0.9827,0.9874,0.9383,0.9707,0.9738,0.9630,0.9645,0.9815,0.9563,0.9672,0.9812,0.9812,0.9750,0.9938
25,0.9595,0.9709,0.9757,0.9806,0.9709,0.9773,0.9398,0.9477,0.9762,0.9445,0.9683,0.9572,0.9585,0.9553,0.9601,0.9856,0.9824,0.9808,0.9633,0.9840,0.9601,0.9617,0.9744,0.9744,0.9727,0.9567,0.9904,0.9663,0.9823,0.9872,0.9554,0.9729,0.9793,0.9713,0.9745,0.9857,0.9695,0.9695,0.9856,0.9872,0.9791,0.9936
30,0.9655,0.9770,0.9787,0.9819,0.9737,0.9803,0.9530,0.9643,0.9822,0.9579,0.9789,0.9692,0.9628,0.9628,0.9644,0.9871,0.9854,0.9838,0.9707,0.9870,0.9707,0.9691,0.9805,0.9805,0.9755,0.9641,0.9951,0.9706,0.9853,0.9902,0.9595,0.9773,0.9854,0.9741,0.9773,0.9871,0.9723,0.9739,0.9902,0.9886,0.9805,0.9935
35,0.9685,0.9768,0.9801,0.9818,0.9752,0.9818,0.9622,0.9655,0.9836,0.9638,0.9803,0.9704,0.9801,0.9751,0.9767,0.9950,0.9917,0.9917,0.9785,0.9884,0.9719,0.9752,0.9818,0.9818,0.9850,0.9734,0.9950,0.9801,0.9900,0.9950,0.9719,0.9835,0.9851,0.9802,0.9835,0.9884,0.9834,0.9784,0.9900,0.9934,0.9851,0.9934
40,0.9764,0.9848,0.9882,0.9899,0.9814,0.9882,0.9666,0.9732,0.9849,0.9716,0.9849,0.9749,0.9831,0.9815,0.9831,0.9966,0.9949,0.9949,0.9815,0.9883,0.9782,0.9815,0.9849,0.9849,0.9865,0.9781,0.9949,0.9848,0.9916,0.9966,0.9732,0.9866,0.9883,0.9832,0.9866,0.9883,0.9848,0.9815,0.9933,0.9966,0.9882,0.9933
45,0.9813,0.9898,0.9898,0.9915,0.9864,0.9915,0.9730,0.9747,0.9865,0.9747,0.9865,0.9780,0.9881,0.9813,0.9847,0.9983,0.9949,0.9966,0.9864,0.9915,0.9830,0.9847,0.9898,0.9881,0.9898,0.9813,0.9983,0.9864,0.9949,0.9983,0.9780,0.9865,0.9882,0.9848,0.9882,0.9899,0.9881,0.9830,0.9949,0.9966,0.9881,0.9949
