sons,A vs G / A,A vs F / A,A vs A+G / A,A vs A+F / A,A vs G+F / A,A vs A+G+F / A,A vs G / G,G vs F / G,G vs A+G / G,G vs A+F / G,G vs G+F / G,G vs A+G+F / G,A vs F / F,G vs F / F,F vs A+G / F,F vs A+F / F,F vs G+F / F,F vs A+G+F / F,A vs A+G / A+G,G vs A+G / A+G,F vs A+G / A+G,A+G vs A+F / A+G,A+G vs G+F / A+G,A+G vs A+G+F / A+G,A vs A+F / A+F,G vs A+F / A+F,F vs A+F / A+F,A+G vs A+F / A+F,A+F vs G+F / A+F,A+F vs A+G+F / A+F,A vs G+F / G+F,G vs G+F / G+F,F vs G+F / G+F,A+G vs G+F / G+F,A+F vs G+F / G+F,G+F vs A+G+F / G+F,A vs A+G+F / A+G+F,G vs A+G+F / A+G+F,F vs A+G+F / A+G+F,A+F vs A+G+F / A+G+F,A+G vs A+G+F / A+G+F,G+F vs A+G+F / A+G+F
0,0.6763,0.7314,0.8155,0.8472,0.7647,0.8347,0.6763,0.6687,0.8324,0.6922,0.8122,0.7625,0.7314,0.6687,0.7102,0.8232,0.7832,0.7945,0.8155,0.8324,0.7102,0.8025,0.8385,0.8743,0.8472,0.6922,0.8232,0.8025,0.8517,0.9163,0.7647,0.8122,0.7832,0.8385,0.8517,0.9213,0.8347,0.7625,0.7945,0.9163,0.8743,0.9213
5,0.7208,0.7624,0.8398,0.8701,0.7996,0.8640,0.7208,0.7203,0.8601,0.7352,0.8392,0.7932,0.7624,0.7203,0.7462,0.8493,0.8144,0.8247,0.8398,0.8601,0.7462,0.8289,0.8575,0.8876,0.8701,0.7352,0.8493,0.8289,0.8724,0.9327,0.7996,0.8392,0.8144,0.8575,0.8724,0.9293,0.8640,0.7932,0.8247,0.9327,0.8876,0.9293
10,0.7557,0.7872,0.8545,0.8882,0.8236,0.8817,0.7557,0.7621,0.8827,0.7705,0.8606,0.8204,0.7872,0.7621,0.7745,0.8727,0.8445,0.8509,0.8545,0.8827,0.7745,0.8485,0.8739,0.8991,0.8882,0.7705,0.8727,0.8485,0.8866,0.9422,0.8236,0.8606,0.8445,0.8739,0.8866,0.9362,0.8817,0.8204,0.8509,0.9422,0.8991,0.9362
15,0.7763,0.8110,0.8608,0.9025,0.8377,0.8893,0.7763,0.7915,0.8977,0.7964,0.8747,0.8417,0.8110,0.7915,0.7974,0.8916,0.8689,0.8719,0.8608,0.8977,0.7974,0.8602,0.8846,0.9046,0.9025,0.7964,0.8916,0.8602,0.9014,0.9500,0.8377,0.8747,0.8689,0.8846,0.9014,0.9448,0.8893,0.8417,0.8719,0.9500,0.9046,0.9448
20,0.7931,0.8267,0.8702,0.9106,0.8531,0.9003,0.7931,0.8100,0.9066,0.8138,0.8816,0.8509,0.8267,0.8100,0.8123,0.9008,0.8827,0.8849,0.8702,0.9066,0.8123,0.8716,0.8921,0.9078,0.9106,0.8138,0.9008,0.8716,0.9152,0.9582,0.8531,0.8816,0.8827,0.8921,0.9152,0.9506,0.9003,0.8509,0.8849,0.9582,0.9078,0.9506
25,0.8045,0.8395,0.8755,0.9169,0.8637,0.9065,0.8045,0.8278,0.9110,0.8265,0.8853,0.8589,0.8395,0.8278,0.8268,0.9099,0.8976,0.8994,0.8755,0.9110,0.8268,0.8790,0.8978,0.9088,0.9169,0.8265,0.9099,0.8790,0.9261,0.9647,0.8637,0.8853,0.8976,0.8978,0.9261,0.9553,0.9065,0.8589,0.8994,0.9647,0.9088,0.9553
30,0.8211,0.8528,0.8841,0.9181,0.8695,0.9093,0.8211,0.8512,0.9192,0.8465,0.9001,0.8763,0.8528,0.8512,0.8443,0.9230,0.9117,0.9128,0.8841,0.9192,0.8443,0.8869,0.9057,0.9141,0.9181,0.8465,0.9230,0.8869,0.9316,0.9672,0.8695,0.9001,0.9117,0.9057,0.9316,0.9583,0.9093,0.8763,0.9128,0.9672,0.9141,0.9583
35,0.8324,0.8655,0.8927,0.9227,0.8833,0.9201,0.8324,0.8694,0.9202,0.8641,0.9088,0.8835,0.8655,0.8694,0.8643,0.9370,0.9253,0.9312,0.8927,0.9202,0.8643,0.9018,0.9143,0.9185,0.9227,0.8641,0.9370,0.9018,0.9463,0.9800,0.8833,0.9088,0.9253,0.9143,0.9463,0.9625,0.9201,0.8835,0.9312,0.9800,0.9185,0.9625
40,0.8457,0.8817,0.9027,0.9319,0.8886,0.9254,0.8457,0.8900,0.9249,0.8803,0.9156,0.8904,0.8817,0.8900,0.8781,0.9446,0.9416,0.9477,0.9027,0.9249,0.8781,0.9107,0.9139,0.9180,0.9319,0.8803,0.9446,0.9107,0.9558,0.9895,0.8886,0.9156,0.9416,0.9139,0.9558,0.9627,0.9254,0.8904,0.9477,0.9895,0.9180,0.9627
45,0.8604,0.8936,0.9099,0.9349,0.9002,0.9327,0.8604,0.8955,0.9295,0.8907,0.9171,0.8961,0.8936,0.8955,0.8836,0.9547,0.9457,0.9535,0.9099,0.9295,0.8836,0.9158,0.9166,0.9189,0.9349,0.8907,0.9547,0.9158,0.9646,0.9941,0.9002,0.9171,0.9457,0.9166,0.9646,0.9669,0.9327,0.8961,0.9535,0.9941,0.9189,0.9669
