06978656-n Abkhazian 0.94
06973941-n Avestan 0.94
06952861-n Afrikaans 0.94
06997486-n Akan 0.94
06987525-n Akkadian 0.94
06918312-n Aleut 0.94
06906971-n Algonquian 0.94
06987812-n Amharic 0.94
06949591-n Old 0.94
06919433-n Apache 0.94
06988057-n Arabic 0.94
06988307-n Aramaic 0.94
06908291-n Arapaho 0.94
06894544-n Artificial 0.94
06917764-n Arawak 0.94
06970784-n Assamese 0.94
06927007-n Azerbaijani 0.94
06927007-n Azeri 0.94
06974687-n Baluchi 0.94
06939656-n Balinese 0.94
06945679-n Baltic 0.94
06944480-n Belarusian 0.94
06990544-n Berber 0.94
06945569-n Bulgarian 0.94
06970510-n Bihari 0.94
06970946-n Bengali 0.94
06991980-n Bantu 0.94
06933931-n Tibetan 0.94
06961771-n Breton 0.94
06967529-n Catalan 0.94
06915601-n Caddo 0.94
06917926-n Carib 0.94
06978180-n Caucasian 0.94
06916217-n Cayuga 0.94
06978422-n Chechen 0.94
06940109-n Cebuano 0.94
06960298-n Celtic 0.94
06928047-n Chagatai 0.94
06957287-n Mari 0.94
06905828-n Chinook 0.94
06912436-n Choctaw 0.94
06920010-n Chipewyan 0.94
06916117-n Cherokee 0.94
06908700-n Cheyenne 0.94
06990371-n Coptic 0.94
06909298-n Cree 0.94
06944911-n Czech 0.94
06944156-n Church 0.94
06927952-n Chuvash 0.94
06961557-n Welsh 0.94
06954048-n Danish 0.94
06909478-n Dakota 0.94
06950528-n German 0.94
06909571-n Delaware 0.94
06998322-n Dinka 0.94
06979014-n Dravidian 0.94
06997587-n Ewe 0.94
06976392-n Greek 0.94
06968454-n Elamite 0.94
06947032-n English 0.94
06948761-n Middle 0.94
06895791-n Esperanto 0.94
06966825-n Spanish 0.94
06957896-n Estonian 0.94
06966695-n Basque 0.94
06974127-n Persian 0.94
06992929-n Fang 0.94
06958255-n Finnish 0.94
06939756-n Filipino 0.94
06938623-n Fijian 0.94
06955087-n Faroese 0.94
06964901-n French 0.94
06965961-n Canadian 0.94
06965580-n Old 0.94
06967935-n Friulian 0.94
06960778-n Irish 0.94
06961122-n Scottish 0.94
06946497-n Germanic 0.94
06966454-n Galician 0.94
06950973-n Middle 0.94
06917280-n Guarani 0.94
06950886-n Old 0.94
06980971-n Gondi 0.94
06955706-n Gothic 0.94
06977434-n Ancient 0.94
06971454-n Gujarati 0.94
06961221-n Manx 0.94
06982697-n Hausa 0.94
06910238-n Haida 0.94
06938493-n Hawaiian 0.94
06987124-n Hebrew 0.94
06970103-n Hindi 0.94
06975902-n Hittite 0.94
06937098-n Hmong 0.94
06958836-n Hungarian 0.94
06919818-n Hupa 0.94
06942699-n Armenian 0.94
06993225-n Herero 0.94
06896304-n Interlingua 0.94
06939198-n Indonesian 0.94
06941644-n Indo-European 0.94
06896500-n Ido 0.94
06973610-n Iranian 0.94
06916803-n Iroquoian 0.94
06954183-n Icelandic 0.94
06964247-n Italian 0.94
06929279-n Japanese 0.94
06939431-n Javanese 0.94
06978766-n Georgian 0.94
06933022-n Kachin 0.94
06993348-n Kamba 0.94
06932130-n Karen 0.94
06993719-n Kongo 0.94
06941341-n Khoisan 0.94
06927128-n Kazakh 0.94
06937348-n Khmer 0.94
06979957-n Kannada 0.94
06929171-n Korean 0.94
06958063-n Karelian 0.94
06972874-n Kashmiri 0.94
06974558-n Kurdish 0.94
06957042-n Komi 0.94
06961681-n Cornish 0.94
06927736-n Kirghiz 0.94
06962600-n Latin 0.94
06967282-n Ladino 0.94
06935594-n Lao 0.94
06946199-n Lithuanian 0.94
06998392-n Luo 0.94
06994089-n Luyia 0.94
06946355-n Latvian 0.94
06937531-n Austronesian 0.94
06998460-n Masai 0.94
06961033-n Middle 0.94
06938386-n Maori 0.94
06910868-n Micmac 0.94
06945473-n Macedonian 0.94
06980175-n Malayalam 0.94
06928839-n Mongolian 0.94
06928744-n Manchu 0.94
06916313-n Mohawk 0.94
06971281-n Marathi 0.94
06939051-n Malay 0.94
06988913-n Maltese 0.94
06932435-n Burmese 0.94
06919215-n Mayan 0.94
06918832-n Nahuatl 0.94
06952249-n Low 0.94
06972985-n Nepali 0.94
06934020-n Newari 0.94
06991277-n Niger-Kordofanian 0.94
06952572-n Dutch 0.94
06952705-n Flemish 0.94
06954303-n Norwegian 0.94
06953167-n Old 0.94
06919712-n Navajo 0.94
06994918-n Nyamwezi 0.94
06966190-n Occitan 0.94
06911366-n Ojibwa 0.94
06971123-n Oriya 0.94
06911575-n Osage 0.94
