06978656-n abcázio 0.94
06973941-n avéstico 0.94
06952861-n africâner 0.94
06997486-n akan 0.94
06987525-n acadiano 0.94
06918312-n aleúte 0.94
06906971-n idioma 0.94
06987812-n amárico 0.94
06949591-n inglês 0.94
06919433-n idioma 0.94
06988057-n árabe 0.94
06988307-n aramaico 0.94
06908291-n arapaho 0.94
06894544-n idioma 0.94
06917764-n arauaqui 0.94
06970784-n assamês 0.94
06927007-n azerbaijano 0.94
06927007-n azeri 0.94
06974687-n balúchi 0.94
06939656-n balinês 0.94
06945679-n idioma 0.94
06944480-n bielo-russo 0.94
06990544-n berbere 0.94
06945569-n búlgaro 0.94
06970510-n biari 0.94
06970946-n bengali 0.94
06991980-n banto 0.94
06933931-n tibetano 0.94
06961771-n bretão 0.94
06967529-n catalão 0.94
06915601-n caddo 0.94
06917926-n caribe 0.94
06978180-n idioma 0.94
06978422-n checheno 0.94
06940109-n cebuano 0.94
06960298-n idioma 0.94
06928047-n chagatai 0.94
06957287-n mari 0.94
06905828-n chinook 0.94
06912436-n choctaw 0.94
06920010-n chipewyan 0.94
06916117-n cherokee 0.94
06908700-n cheiene 0.94
06990371-n copta 0.94
06909298-n cree 0.94
06944911-n tcheco 0.94
06944156-n eslavo 0.94
06927952-n chuvash 0.94
06961557-n galês 0.94
06954048-n dinamarquês 0.94
06909478-n dacota 0.94
06950528-n alemão 0.94
06909571-n delaware 0.94
06998322-n dinka 0.94
06979014-n idioma 0.94
06997587-n eve 0.94
06976392-n grego 0.94
06968454-n elamite 0.94
06947032-n inglês 0.94
06948761-n inglês 0.94
06895791-n esperanto 0.94
06966825-n espanhol 0.94
06957896-n estoniano 0.94
06966695-n basco 0.94
06974127-n persa 0.94
06992929-n fangue 0.94
06958255-n finlandês 0.94
06939756-n filipino 0.94
06938623-n fijiano 0.94
06955087-n feroês 0.94
06964901-n francês 0.94
06965961-n francês 0.94
06965580-n francês 0.94
06967935-n friulano 0.94
06960778-n irlandês 0.94
06961122-n gaélico 0.94
06946497-n idioma 0.94
06966454-n galego 0.94
06950973-n alemão 0.94
06917280-n guarani 0.94
06950886-n alemão 0.94
06980971-n gondi 0.94
06955706-n gótico 0.94
06977434-n grego 0.94
06971454-n guzerate 0.94
06961221-n manx 0.94
06982697-n hauçá 0.94
06910238-n haida 0.94
06938493-n havaiano 0.94
06987124-n hebraico 0.94
06970103-n híndi 0.94
06975902-n hitita 0.94
06937098-n hmong 0.94
06958836-n húngaro 0.94
06919818-n hupa 0.94
06942699-n armênio 0.94
06993225-n herero 0.94
06896304-n interlíngua 0.94
06939198-n indonésio 0.94
06941644-n idioma 0.94
06896500-n ido 0.94
06973610-n iraniano 0.94
06916803-n idioma 0.94
06954183-n islandês 0.94
06964247-n italiano 0.94
06929279-n japonês 0.94
06939431-n javanês 0.94
06978766-n georgiano 0.94
06933022-n kachin 0.94
06993348-n kamba 0.94
06932130-n karen 0.94
06993719-n congolês 0.94
06941341-n idioma 0.94
06927128-n cazaque 0.94
06937348-n cmer 0.94
06979957-n canarês 0.94
06929171-n coreano 0.94
06958063-n idioma 0.94
06972874-n caxemira 0.94
06974558-n curdo 0.94
06957042-n komi 0.94
06961681-n córnico 0.94
06927736-n quirguiz 0.94
06962600-n latim 0.94
06967282-n ladino 0.94
06935594-n laosiano 0.94
06946199-n lituano 0.94
06998392-n luo 0.94
06946355-n letão 0.94
06937531-n austronésio 0.94
06998460-n massai 0.94
06961033-n irlandês 0.94
06938386-n maori 0.94
06910868-n miquemaque 0.94
06945473-n macedônio 0.94
06980175-n malaiala 0.94
06928839-n mongol 0.94
06928744-n manchu 0.94
06916313-n mohawk 0.94
06971281-n marata 0.94
06939051-n malaio 0.94
06988913-n maltês 0.94
06932435-n birmanês 0.94
06919215-n maia 0.94
06918832-n náuatle 0.94
06952249-n baixo-alemão 0.94
06972985-n nepali 0.94
06934020-n newari 0.94
06991277-n idioma 0.94
06952572-n holandês 0.94
06952705-n flamengo 0.94
06954303-n norueguês 0.94
06953167-n nórdico 0.94
06919712-n navajo 0.94
06994918-n nyamwezi 0.94
06966190-n occitânico 0.94
06911366-n ojibwa 0.94
06971123-n oriya 0.94
06911575-n osage 0.94
06971605-n panjabi 0.94
06941115-n idioma 0.94
06974846-n pálavi 0.94
06989473-n fenício 0.94
06973334-n páli 0.94
06944720-n polonês 0.94
06975132-n pashto 0.94
06975132-n pushto 0.94
06966310-n português 0.94
06917083-n quíchua 0.94
06968174-n reto-romano 0.94
06968343-n romeno 0.94
06963951-n idioma 0.94
06969822-n romani 0.94
06944348-n russo 0.94
06993573-n kinyarwanda 0.94
06969129-n sânscrito 0.94
06964600-n sardo 0.94
06950209-n escocês 0.94
06969705-n sindi 0.94
06960180-n selkup 0.94
06906028-n sango 0.94
06960948-n irlandês 0.94
06945095-n servo-croata 0.94
06935223-n shan 0.94
06971741-n cingalês 0.94
06920129-n idioma 0.94
06930934-n idioma 0.94
06944820-n eslovaco 0.94
06943771-n idioma 0.94
06995135-n shona 0.94
06991004-n somali 0.94
06998631-n songai 0.94
06942252-n albanês 0.94
06996755-n serere 0.94
06997697-n idioma 0.94
06939542-n sundanês 0.94
06954925-n sueco 0.94
06995792-n suaili 0.94
06980315-n tâmil 0.94
06980721-n telugu 0.94
06974390-n tadjique 0.94
06936149-n tailandês 0.94
06926889-n turcomano 0.94
06940001-n tagalo 0.94
06913025-n tlinguite 0.94
06995664-n tswana 0.94
06938190-n tonganês 0.94
06926798-n turco 0.94
06925644-n tsimshian 0.94
06927228-n tatar 0.94
06926212-n idioma 0.94
06938294-n taitiano 0.94
06956794-n udmurt 0.94
06927486-n uighur 0.94
06927486-n uyghur 0.94
06989769-n ugarítico 0.94
06944623-n ucraniano 0.94
06995439-n umbundu 0.94
06969916-n urdu 0.94
06927363-n usbeque 0.94
06937229-n vietnamita 0.94
06898129-n volapuque 0.94
06966070-n valão 0.94
06914423-n idioma 0.94
06996894-n uólofe 0.94
06994700-n xosa 0.94
06951067-n iídiche 0.94
06997368-n ioruba 0.94
06930427-n cantonês 0.94
06936379-n zhuang 0.94
06919122-n zapoteca 0.94
06929742-n chinês 0.94
06994792-n zulu 0.94
06352117-n armênio 0.94
06352301-n avéstico 0.94
06352618-n brahmi 0.94
06362792-n braille 0.94
06499796-n cirílico 0.94
06352782-n devanágari 0.94
06361934-n A 0.94
06362059-n B 0.94
06500639-n visible 0.94
06808720-n zmth 0.94
09189411-n África 0.94
09372504-n América 0.94
09440400-n América 0.94
08835875-n Oceania 0.94
08735705-n América 0.94
09195615-n Américas 0.94
09044862-n Américas 0.94
08709038-n Caribe 0.94
08836630-n Melanésia 0.94
08841667-n Polinésia 0.94
09207288-n Ásia 0.94
09275473-n Europa 0.94
08760393-n Europa 0.94
09022831-n América 0.94
09023118-n Andorra 0.94
09044190-n Emirados 0.94
08703454-n Afeganistão 0.94
08709704-n Antígua 0.94
08708742-n Anguilla 0.94
08704822-n Albânia 0.94
09017526-n Armênia 0.94
08748499-n Antilhas 0.94
08707917-n Angola 0.94
09198106-n Antártida 0.94
08711974-n Argentina 0.94
08991878-n Samoa 0.94
08845555-n Áustria 0.94
09211266-n Austrália 0.94
08831004-n Austrália 0.94
08748794-n Aruba 0.94
09018162-n Azerbaijão 0.94
08817630-n Bósnia-Herzegovina 0.94
08755436-n Barbados 0.94
08755214-n Barbados 0.94
08848731-n Bangladesh 0.94
08849753-n Bélgica 0.94
08896440-n Burquina 0.94
08714132-n Bulgária 0.94
08848094-n Bahrain 0.94
08848421-n Bahrain 0.94
08716219-n Burundi 0.94
08759420-n Benin 0.94
08710678-n Bermudas 0.94
08896092-n Brunei 0.94
08852843-n Bolívia 0.94
08853741-n Brasil 0.94
08847268-n Bahamas 0.94
08852209-n Butão 0.94
08711143-n Ilha 0.94
08852389-n Botsuana 0.94
09011151-n Belarus 0.94
08737521-n Belize 0.94
08820121-n Canadá 0.94
08718577-n República 0.94
09031653-n Suíça 0.94
08736517-n Costa 0.94
08736517-n Costa 0.94
08720481-n Chile 0.94
08717209-n República 0.94
08730550-n China 0.94
08723006-n China 0.94
08732116-n Colômbia 0.94
08736107-n Costa 0.94
08816236-n Sérvia 0.94
08750151-n Cuba 0.94
08750334-n Cuba 0.94
08717915-n Cabo 0.94
08756735-n Chipre 0.94
08756884-n Chipre 0.94
08757264-n República 0.94
08766988-n Alemanha 0.94
08762823-n Djibuti 0.94
08762495-n Djibuti 0.94
08761244-n Dinamarca 0.94
08763193-n Dominica 0.94
08763010-n Dominica 0.94
08752021-n República 0.94
08705397-n Argélia 0.94
08776687-n Equador 0.94
09012297-n Estônia 0.94
08896831-n Egito 0.94
08897065-n Egito 0.94
08970833-n Saara 0.94
08777544-n Eritreia 0.94
09023321-n Espanha 0.94
08778061-n Etiópia 0.94
08779504-n Finlândia 0.94
08779149-n Fiji 0.94
08718391-n Ilhas 0.94
08718391-n Ilhas 0.94
08837048-n Micronésia 0.94
08836886-n Micronésia 0.94
08952856-n Ilhas 0.94
08952628-n Ilhas 0.94
08929922-n França 0.94
08945529-n Gabão 0.94
08860123-n Reino 0.94
08946909-n Granada 0.94
09076421-n Geórgia 0.94
09018848-n Geórgia 0.94
09075842-n Geórgia 0.94
08946187-n Gana 0.94
08819397-n Groênlandia 0.94
08945821-n Gâmbia 0.94
08947319-n Guiné 0.94
08751126-n Guadalupe 0.94
08763500-n Guiné 0.94
08782319-n Grécia 0.94
08780881-n Grécia 0.94
08737041-n Guatemala 0.94
08838319-n Guam 0.94
08947772-n Guiné 0.94
08948346-n Guiana 0.94
08731148-n Hong 0.94
08731148-n Hong 0.94
08737716-n Honduras 0.94
08815858-n Croácia 0.94
08751494-n Haiti 0.94
08751317-n Haiti 0.94
08952190-n Hungria 0.94
09024972-n Ilhas 0.94
08907606-n Indonésia 0.94
08888676-n Irlanda 0.94
08859173-n Irlanda 0.94
08792548-n Israel 0.94
08792295-n Israel 0.94
08887716-n Ilha 0.94
08900535-n Índia 0.94
08913434-n Iraque 0.94
08910668-n Irã 0.94
08953324-n Islândia 0.94
08953151-n Islândia 0.94
08801678-n Itália 0.94
09112282-n Jersey 0.94
08753933-n Jamaica 0.94
08753729-n Jamaica 0.94
08927186-n Jordânia 0.94
08920381-n Japão 0.94
08921850-n Japão 0.94
08928193-n Quênia 0.94
09020440-n Quirguistão 0.94
08716738-n Camboja 0.94
08840749-n Quiribati 0.94
08733897-n Comores 0.94
08987423-n São 0.94
08955082-n Coreia 0.94
