synset	word	csco
00770151-n	mutilació_criminal	99.0
09776079-n	enginyer_aerospacial	99.0
00483466-v	proporcionar	99.0
00518653-v	desconcertar	99.0
02994419-n	centre_de_taula	99.0
02994419-n	adorn_central	99.0
14811706-n	àcid_cròmic	99.0
14992287-n	argamassa	99.0
14992287-n	morter	99.0
09935793-n	col·laboracionista	99.0
00382635-v	transformar-se	99.0
00382635-v	transformar	99.0
00382635-v	transmutar	99.0
06573020-n	malware	99.0
00154837-a	avergonyit	99.0
04906923-n	sicofant	99.0
10463943-n	balbucejador	99.0
10463943-n	balbotejador	99.0
14718822-n	soldadura	99.0
14718822-n	soldatge	99.0
00662318-a	tallat	99.0
12629523-n	eriobotrya	99.0
12629523-n	genus_eriobotrya	99.0
12531552-n	genus_gliricidia	99.0
09988703-n	ronsejaire	99.0
09988703-n	triganer	99.0
09988703-n	romancer	99.0
07829248-n	vinagre_de_sidra	99.0
11959862-n	card	99.0
01126564-n	vinificació	99.0
00082223-n	compra_per_catàleg	99.0
07201804-n	descripció	99.0
07201804-n	imatge	99.0
07201804-n	caracterització	99.0
07201804-n	representació	99.0
13683093-n	unitat_monetària_malawi	99.0
14398523-n	esquizofrènia	99.0
01889819-a	prepotent	99.0
01889819-a	ufanós	99.0
01889819-a	alterós	99.0
01889819-a	superb	99.0
01889819-a	orgullós	99.0
01889819-a	altiu	99.0
01889819-a	superbiós	99.0
01889819-a	arrogant	99.0
01899593-n	llana	99.0
01447001-n	genus_fundulus	99.0
01447001-n	fundulus	99.0
06324864-n	article_determinat	99.0
11788926-n	lysichitum	99.0
11788926-n	genus_lysichitum	99.0
11788926-n	genus_lysichiton	99.0
11788926-n	lysichiton	99.0
02803349-n	baix	99.0
03043958-n	clip	99.0
01367431-a	divertit	99.0
01367431-a	alegre	99.0
02834778-n	bici	99.0
02834778-n	bicicleta	99.0
10996876-n	George_Gershwin	99.0
02423762-v	reprimir	99.0
02423762-v	refrenar	99.0
01243809-v	raspallar-se	99.0
01243809-v	raspallar	99.0
00466077-a	telescòpic	99.0
11178161-n	Michelangelo_Buonarroti	99.0
11178161-n	Miquel_Àngel	99.0
15056938-n	àcid_esteàric	99.0
04981941-n	veu	99.0
02078159-n	otaria	99.0
02078159-n	genus_otaria	99.0
02164464-n	coleòpter	99.0
02164464-n	escarabat	99.0
00128733-a	nou	99.0
00128733-a	inaudit	99.0
13698445-n	dirham_de_Qatar	99.0
12583529-n	acrocomia	99.0
12583529-n	genus_acrocomia	99.0
04870206-n	incorruptibilitat	99.0
12801323-n	genus_parnassia	99.0
03141065-n	cotxe_de_policia	99.0
03141065-n	cotxe_de_la_policia	80.0
03141065-n	cotxe_patrulla	99.0
10554455-n	esquirol	99.0
13316332-n	impost_sobre_el_consum	35.0
14375363-n	crisi_d'identitat	99.0
00214461-a	estarrufat	99.0
00214461-a	eriçat	99.0
06641654-n	índex_del_cost_de_la_vida	80.0
06641654-n	ICV	99.0
09759311-n	acadèmic	99.0
01610100-n	Esparver_Cendrós	99.0
01610100-n	esparver_cendrós	99.0
10842923-n	Vincenzo_Bellini	99.0
10340312-n	instrumentista	99.0
10340312-n	músic	99.0
02213362-n	vespula	99.0
02213362-n	genus_vespula	99.0
03443912-n	ulleres_protectores	99.0
00842519-n	omofàgia	99.0
06832896-n	q	99.0
13776137-n	límit	99.0
13776137-n	màxim	99.0
06574231-n	compilador_de_Pascal	99.0
02129604-n	tigre	99.0
11182098-n	John_Mitchell	99.0
11058633-n	Herbert_Hoover	99.0
00084230-v	medicar	99.0
13901321-n	tub	99.0
00802136-v	burlar-se	99.0
00802136-v	prendre_a_broma	99.0
00802136-v	riure's	99.0
02207206-v	adquirir	99.0
02207206-v	comprar	99.0
02974615-a	palestí	99.0
06833663-n	x	99.0
05535484-n	intestí_gros	99.0
07181043-n	topada	99.0
07181043-n	confrontació	99.0
07181043-n	conflicte	99.0
07181043-n	enfrontament	99.0
00338013-a	dubtós	99.0
05567381-n	dit_indicatiu	99.0
05567381-n	índex	99.0
10733891-n	presentador_de_televisió	99.0
13338960-n	garantia_de_compliment	99.0
13338960-n	garantia_de_bon_fi	80.0
01164250-a	discordant	99.0
01164250-a	dissonant	99.0
01164250-a	discorde	99.0
07168623-n	ordre	99.0
07026646-n	òpera_bufa	99.0
07026646-n	òpera_còmica	99.0
00359260-a	esgotat	99.0
15199592-n	festa_nacional	99.0
06758835-n	exageració	99.0
03454536-n	reixa	99.0
15165637-n	hora_de_menjar	99.0
06904171-n	idioma	99.0
06904171-n	llengua	99.0
06904171-n	llenguatge_natural	99.0
06904171-n	llengua_natural	99.0
00963896-n	motí	99.0
01224001-v	agafar	99.0
04238617-n	projector_de_diapositives	99.0
09540329-n	missatger_diví	99.0
12479303-n	genus_dracaena	99.0
02661765-n	genus_etropus	99.0
02661765-n	etropus	99.0
10368113-n	nunci_apostòlic	99.0
10368113-n	nunci	99.0
02498507-a	fatal	99.0
02420232-v	cultivar	99.0
02420232-v	llaurar	99.0
10136615-n	orfebre	99.0
07790601-n	palaia	99.0
07790601-n	pedaç	99.0
07790601-n	rèmol	99.0
07790601-n	capellà	99.0
07790601-n	pelaia	99.0
07006119-n	art_dramàtic	99.0
07006119-n	teatre	99.0
07006119-n	dramatúrgia	99.0
00148653-n	soldadura	99.0
00581241-n	volum_de_feina	99.0
00581241-n	volum_de_treball	99.0
02428653-n	pseudoryx	99.0
02428653-n	genus_pseudoryx	99.0
00596511-a	consecutiu	99.0
00596511-a	seguit	99.0
01093965-n	arbitratge	99.0
00266806-n	adobament	99.0
00266806-n	adob	99.0
00266806-n	reparació	99.0
10366966-n	infermer	99.0
10366966-n	infermera	99.0
01950798-v	expedir	99.0
01950798-v	trametre	99.0
01950798-v	transportar	99.0
01950798-v	embarcar	99.0
01950798-v	enviar	99.0
14991106-n	laca	99.0
03036341-n	vestit_de_paisà	99.0
00755447-v	requerir	99.0
01200440-v	drogar	99.0
01200440-v	drogar-se	99.0
02358762-a	bocabadat	99.0
02358762-a	espaterrat	99.0
02358762-a	garratibat	99.0
06179290-n	neurolingüística	99.0
09557387-n	Atenea	99.0
09557387-n	Palas_Atenea	99.0
02988402-a	nacional	99.0
00403911-n	cremada	99.0
10773126-n	ploramiques	99.0
10773126-n	ploraner	99.0
02120387-n	urocyon	99.0
02120387-n	genus_urocyon	99.0
12571606-n	strongylodon	99.0
12571606-n	genus_strongylodon	99.0
06104073-n	conservació	99.0
13386465-n	diners_comptants	99.0
05035712-n	xoc	99.0
13103660-n	lignosa	99.0
00416301-a	alt_secret	99.0
02130308-n	guepard	99.0
11725015-n	anemone	99.0
09818343-n	astrònom	99.0
13098648-n	xilema	99.0
09308242-n	hiperó	99.0
02823750-n	gerra_de_cervesa	99.0
00955148-v	voler_dir	99.0
00955148-v	significar	99.0
02533282-v	comprovar	99.0
02533282-v	verificar	99.0
02533282-v	constatar	99.0
13527965-n	oscil·lació	99.0
02414043-n	caracul	99.0
01041968-n	suplicació	99.0
01041968-n	súplica	99.0
00070111-a	cosmètic	99.0
06739782-n	queixa	99.0
06739782-n	denúncia	99.0
06739782-n	protesta	99.0
01066163-n	demora	99.0
01066163-n	retard	99.0
14644654-n	número_atòmic_25	99.0
14644654-n	manganès	99.0
00273082-a	fosc	99.0
00273082-a	obscur	99.0
02896294-n	tapaculs	99.0
00836705-v	tergiversar	99.0
00836705-v	falsificar	99.0
00836705-v	desfigurar	99.0
14828511-n	citosina	99.0
09896685-n	fuster	99.0
09896685-n	ebenista	99.0
14585519-n	pessic	99.0
14585519-n	partícula	99.0
14585519-n	bocí	99.0
14585519-n	engruna	99.0
14585519-n	bri	99.0
14585519-n	espurna	99.0
14585519-n	mica	99.0
05938400-n	arquetip	99.0
05938400-n	arquetipus	99.0
00619142-n	càlcul_de_costos	99.0
08560027-n	abocador	99.0
07453063-n	cerimònia_militar	99.0
06217806-n	extremisme	99.0
00111415-a	analític	99.0
07424109-n	revolució	99.0
00754393-a	perseverant	99.0
00754393-a	tenaç	99.0
00754393-a	constant	99.0
07761141-n	xirimoia	99.0
09392824-n	Pisces	99.0
09392824-n	Peixos	99.0
00316390-v	ensordir	99.0
00316390-v	eixordar	99.0
01464844-n	rovell	99.0
06263609-n	mitjà_de_comunicació_escrit	80.0
10511239-n	reincident	99.0
04908396-n	voluntarietat	99.0
06906439-n	llengua_ameríndia	99.0
06906439-n	amerindi	99.0
07783827-n	pasta_d'anxoves	99.0
00103317-v	ruboritzar-se	99.0
00103317-v	enrojolar-se	99.0
00103317-v	envermellonar	99.0
00103317-v	envermellir-se	99.0
00103317-v	encarnar	99.0
00103317-v	enrogir-se	99.0
00479076-n	esport_de_pista	99.0
03475118-n	Santa_Sofia	99.0
02390454-n	ase_salvatge	99.0
10939475-n	Don_Juan	99.0
04891683-n	absurditat	99.0
04891683-n	estupidesa	99.0
08966820-n	Mauritània	99.0
00589691-n	califat	99.0
04831437-n	inexorabilitat	99.0
04415815-n	aula_d'exàmens	99.0
08752293-n	capital_de_la_República_Dominicana	80.0
08752293-n	Santo_Domingo	99.0
05600637-n	cara	99.0
06405423-n	endós_en_blanc	99.0
01034153-a	connatural	99.0
01034153-a	innat	99.0
03638623-n	barcassa_de_desembarcament	99.0
01353773-n	aerobacter	99.0
01353773-n	genus_aerobacter	99.0
00426958-v	esfumar-se	99.0
00426958-v	dissipar-se	99.0
00426958-v	desaparèixer	99.0
00426958-v	dissipar	99.0
00426958-v	esvair-se	99.0
15183802-n	festa_religiosa	99.0
02625132-n	acanthocybium	99.0
02625132-n	genus_acanthocybium	99.0
80000993-n	certificat_bilingüe_de_defunció	35.0
05117140-n	fretura	99.0
05117140-n	carestia	99.0
05117140-n	penúria	99.0
13427789-n	absorció	99.0
06695579-n	llagoteria	99.0
06695579-n	afalac	99.0
06695579-n	adulació	99.0
00210110-v	assaonar	99.0
00210110-v	adobar	99.0
01608706-v	desmuntar	99.0
01608706-v	desvestir	99.0
01608706-v	desmantellar	99.0
01608706-v	treure	99.0
01608706-v	netejar	99.0
13524295-n	oligúria	99.0
07145508-n	sessió	99.0
07486922-n	ànsia	99.0
01016201-n	recollida	99.0
00806049-v	cedir	99.0
00806049-v	atorgar	99.0
00806049-v	concedir	99.0
02535716-v	trencar	99.0
02535716-v	rompre	99.0
02535716-v	tallar	99.0
02535716-v	abandonar	99.0
02666347-n	àbac	99.0
04878101-n	nacionalisme	99.0
04878101-n	patriotisme	99.0
01373303-v	velar	99.0
01373303-v	entelar	99.0
01373303-v	enllorar	99.0
02156546-v	esfumar-se	99.0
02156546-v	dissipar-se	99.0
02156546-v	desaparèixer	99.0
02156546-v	dissipar	99.0
02156546-v	esvair-se	99.0
01136248-a	rondinador	99.0
01136248-a	butzinaire	99.0
01136248-a	malhumorat	99.0
01136248-a	esquerp	99.0
01136248-a	malhumorós	99.0
01136248-a	rondinaire	99.0
11744859-n	plantes	99.0
06356299-n	paràmetre	99.0
06356299-n	argument	99.0
15169421-n	capvespre	99.0
15169421-n	crepuscle_vespertí	99.0
15169421-n	crepuscle	99.0
15169421-n	vespre	99.0
00249313-v	retrocedir	99.0
00322457-a	causatiu	99.0
07672914-n	margarina	99.0
06758584-n	mitja_veritat	99.0
06758584-n	veritat_a_mitges	99.0
02263346-v	atorgar	99.0
02263346-v	concedir	99.0
11058436-n	Joseph_Hooker	99.0
04378489-n	tabard	99.0
00617413-v	desestimar	99.0
00617413-v	desatendre	99.0
07972425-n	feudalisme	99.0
00286360-n	esquivada	99.0
00040545-n	fertilització_creuada	99.0
07084166-n	entonació	99.0
05980256-n	ateisme	99.0
01268571-v	oliar	99.0
01941274-a	vivent	99.0
01941274-a	viu	99.0
02763824-a	meridional	99.0
06636806-n	format	99.0
00267681-v	minvar	99.0
01891773-a	presumptuós	99.0
01891773-a	envanit	99.0
01891773-a	vanitós	99.0
01891773-a	fatu	99.0
07051851-n	cançó_de_bressol	99.0
02344060-v	pagar	99.0
02344060-v	reemborsar	99.0
02344060-v	reembossar	99.0
02344060-v	tornar	99.0
