synset	word	csco
03952886-n	platera-jartzeko	99.0
07829248-n	sagardo-ozpin	99.0
11948264-n	astuzker	99.0
14992287-n	igeltsu	99.0
09935793-n	kolaborazionista	99.0
04947628-n	lerrakortasun	62.0
00382635-v	antzaldatu	99.0
00382635-v	itxuraldatu	99.0
00382635-v	aldatu	99.0
04252225-n	elurra_kentzeko_makina	99.0
14718822-n	soldadura	99.0
07772274-n	gaztaina	99.0
00429322-n	txantxa	99.0
00429322-n	bihurrikeria	99.0
10714577-n	harro	99.0
10714577-n	harroputz	99.0
10714577-n	hantuste	99.0
12470512-n	txilar	99.0
14398523-n	eskizofrenia	99.0
01899593-n	artile	99.0
02803349-n	baxu	99.0
03043958-n	klip	99.0
05077661-n	kointzidentzia	62.0
02834778-n	bizikleta	99.0
02834778-n	ziklomotore	99.0
04878101-n	nazionalismo	99.0
04878101-n	abertzaletasun	99.0
04981941-n	boz	99.0
04981941-n	ahots	99.0
04981941-n	mintzo	99.0
02078159-n	otaria	89.0
02078159-n	itsas_lehoi	89.0
02164464-n	kakalardo	99.0
10660471-n	isileko_bidazti	99.0
10660471-n	ezkutuko_bidaiari	99.0
10660471-n	ezkutuko_bidazti	99.0
10660471-n	polizoi	99.0
80000675-n	itu-hegazkina	99.0
80000675-n	piloturik_gabeko_itu-hegazkina	99.0
13274092-n	hobari	99.0
04870206-n	ustelezintasun	99.0
80000047-n	Valladolid	99.0
08613345-n	silueta	99.0
10554455-n	eskirol	99.0
10554455-n	greba-hausle	99.0
80000047-v	beiratu	99.0
80000047-v	beiraztatu	99.0
09759311-n	akademikide	99.0
09759311-n	akademiko	99.0
10340312-n	instrumentista	99.0
10340312-n	jotzaile	99.0
10340312-n	jole	99.0
10340312-n	musikari	99.0
15022171-n	globulina	99.0
03443912-n	betaurreko_babesle	99.0
13776137-n	maximo	99.0
02946921-n	lata	99.0
02129604-n	tigre	99.0
04502670-n	altuen_bozgorailu	99.0
13901321-n	hodi	99.0
03003548-n	kreta_harrobi	99.0
01779629-n	akaro	99.0
14152279-n	albinismo	99.0
01547832-n	euli-txori	99.0
05535484-n	heste_lodi	99.0
05168795-n	ohore	99.0
07181043-n	liskar	99.0
07181043-n	istilu	99.0
07181043-n	errieta	99.0
07181043-n	gatazka	99.0
05567381-n	erakusle	99.0
05567381-n	handiurren	99.0
05567381-n	hatz_erakusle	99.0
02071974-v	jario	99.0
02071974-v	jariatu	99.0
02071974-v	izerditu	99.0
02071974-v	isuri	99.0
02071974-v	erion	99.0
02071974-v	exudatu	99.0
07924366-n	sagar-zuku	99.0
04198453-n	hegal	99.0
06758835-n	gehiegikeria	99.0
03454536-n	burdin_hesi	99.0
03454536-n	burdin_sare	99.0
15165637-n	otordu	99.0
80000537-n	tarte_bertikal	99.0
00188375-v	erein	99.0
00963896-n	altxamendu	99.0
00963896-n	matxinada	99.0
01224001-v	oratu	99.0
01224001-v	eutsi	99.0
01224001-v	atxiki	99.0
01224001-v	heldu	99.0
10368113-n	nuntzio	99.0
06410391-n	kritika	99.0
10136615-n	urregin	99.0
07790601-n	platuxa	99.0
07006119-n	dramaturgia	99.0
07006119-n	antzerkigintza	99.0
00148653-n	soldadura	89.0
00148653-n	soldaketa	89.0
00581241-n	lan-karga	99.0
05542193-n	mastoide	99.0
01093965-n	arbitraje	96.0
01093965-n	arbitratze	62.0
13882804-n	endekagono	99.0
00266806-n	konponketa	99.0
01950798-v	bidali	99.0
01950798-v	eraman	99.0
01950798-v	igorri	99.0
01041111-n	eskaintza	99.0
14325335-n	bizkarreko_min	99.0
00403911-n	erredura	99.0
10773126-n	negar-ontzi	99.0
10773126-n	negarti	99.0
13251154-n	traste	99.0
13251154-n	tramankulu	99.0
08102555-n	filum	99.0
02130308-n	gepardo	99.0
11725015-n	eguerdilili	99.0
11725015-n	anemona	99.0
00879764-v	aditzera_eman	99.0
00879764-v	proposatu	99.0
00879764-v	iradoki	99.0
09818343-n	astronomo	99.0
13098648-n	xilema	99.0
10040789-n	dinamitari	99.0
02823750-n	garagardo-pitxer	99.0
00955148-v	esan_nahi_izan	99.0
00955148-v	adierazi	99.0
00955148-v	esan_nahi	99.0
02533282-v	egiaztatu	99.0
05043091-n	babesgabetasun	99.0
14108039-n	bularraldeko_angina	99.0
14108039-n	bularreko_angina	99.0
01041968-n	erregu	99.0
01041968-n	otoi	99.0
10597505-n	keinu-hizkuntza_darabilena	99.0
06739782-n	protesta	99.0
01066163-n	atzerapen	99.0
14644654-n	manganeso	99.0
00836705-v	itxuragabetu	99.0
00836705-v	faltsutu	99.0
00836705-v	aizundu	99.0
00836705-v	desitxuratu	99.0
09896685-n	zurgin	99.0
09896685-n	arotz	99.0
05938400-n	arketipo	99.0
08560027-n	zabortegi	99.0
08560027-n	hondakindegi	99.0
08560027-n	zakartegi	99.0
07259772-n	erregela	99.0
06217806-n	estremismo	99.0
11447691-n	barealdi	99.0
07424109-n	iraultza	99.0
01171644-n	eskrima	99.0
07761141-n	txirimoia	99.0
01464844-n	gorringo	99.0
13624026-n	dezilitro	99.0
04908396-n	suminkortasun	99.0
07381100-n	kakara	99.0
00730647-v	zundatu	99.0
00730647-v	neurtu	99.0
06906439-n	amerindiera	99.0
00103317-v	lotsatu	99.0
00103317-v	gorritu	99.0
