synset	word	csco
11355247-n	Tristan_Tzara	99.0
11083527-n	Otto_Jespersen	99.0
02122948-n	gatiño	99.0
02122948-n	michiño	99.0
02284578-a	escrito	99.0
14615135-n	ácido_metafosfórico	99.0
14811706-n	ácido_crómico	99.0
14519097-n	deforestación	99.0
14611980-n	ácido_gamma	99.0
05277532-n	nasal	99.0
05277532-n	óso_nasal	99.0
05277532-n	os_nasal	99.0
11193392-n	Moisés	99.0
07452074-n	voda	99.0
09955015-n	estafador	99.0
00494768-n	póker	99.0
00813589-a	primitivo	99.0
00813589-a	primixenio	99.0
13765749-n	balde	99.0
13765749-n	caldeiro	99.0
14583400-n	chymus	99.0
14583400-n	quimo	99.0
05462315-n	systema_nervosum	99.0
05462315-n	sistema_nervioso	99.0
15096048-n	amarelo_de_cadmio	99.0
05348698-n	arteria_intestinal	99.0
05348698-n	arteria_xexunal	99.0
00620752-n	labor	99.0
09219349-n	Beta_Centauri	99.0
00283703-a	apagado	99.0
00283703-a	opaco	99.0
00283703-a	sen_brillo	99.0
00283703-a	mate	99.0
14718822-n	soldadura	99.0
02319538-a	acentuado	99.0
02319538-a	tenso	99.0
03655295-n	Lego	99.0
07772274-n	castaña	99.0
11959862-n	cardo	99.0
04699767-n	rococó	99.0
14544335-n	tensión	99.0
07888465-n	weissbier	99.0
05352291-n	arteria_metacarpea	99.0
05352291-n	arteria_metacarpal	99.0
00741867-a	desenvolvido	99.0
00741867-a	desenvolto	99.0
13842241-n	comensalismo	99.0
01441271-a	antigo	99.0
14751863-n	mineralocorticoide	99.0
14398523-n	esquizofrenia	99.0
10091651-n	bombeiro	99.0
01889819-a	fachendoso	99.0
01889819-a	arrogante	99.0
09712195-n	guatemalteco	99.0
09306840-n	Río_Hudson	99.0
02280090-a	impertinente	99.0
14478143-n	solvencia	99.0
14629772-n	atrazina	99.0
10442705-n	labrego	99.0
14126660-n	cegueira	99.0
05457469-n	spermatozoon	99.0
05457469-n	esperma	99.0
05457469-n	espermatozoide	99.0
05457469-n	células_do_esperma	99.0
01247413-n	liberación	99.0
01247413-n	emancipación	99.0
02834778-n	bicicleta	99.0
00938441-a	en_curso	99.0
00938441-a	vixente	99.0
00938441-a	non_vencido	99.0
00938441-a	non_expirado	99.0
15092650-n	vitamina_H	99.0
15092650-n	biotina	99.0
15203791-n	prazo_dun_ano	99.0
01127782-a	miserable	99.0
01127782-a	miserábel	99.0
04878101-n	patriotismo	99.0
00105746-a	abundante	99.0
05373300-n	vea_maxilar	99.0
05373300-n	vena_maxillaris	99.0
04284572-n	sporran	99.0
00116463-a	non_rabiado	99.0
00116463-a	non_irritado	99.0
00116463-a	non_doente	99.0
00116463-a	non_rabioso	99.0
11178161-n	Miguel_Anxo	99.0
11178161-n	Michelangelo	99.0
11178161-n	Michelangelo_Buonarroti	99.0
07884567-n	alcohol	99.0
02395115-a	saboroso	99.0
02131653-n	oso	99.0
15056938-n	ácido_octadecanoico	99.0
15056938-n	ácido_esteárico	99.0
05323723-n	oído_externo	99.0
01847806-n	lavanco	99.0
05362405-n	vea_cerebral_interna	99.0
05362405-n	vena_cerebrum_internus	99.0
01864123-a	privilexiado	99.0
11056060-n	Hans_Holbein	99.0
02477755-v	rescindir	99.0
02477755-v	anular	99.0
02477755-v	cancelar	99.0
02477755-v	suspender	99.0
07184545-n	altercado	99.0
01089369-a	a_media_xornada	99.0
01089369-a	a_tempo_parcial	99.0
11367910-n	Antonio_Vivaldi	99.0
01893303-a	humilde	99.0
15064560-n	aventurina	99.0
02778456-n	bala	99.0
01783158-a	relixioso	99.0
10814953-n	Woody_Allen	99.0
05602304-n	musculus_temporalis	99.0
05602304-n	músculo_temporal	99.0
15241507-n	Advento	99.0
14871078-n	pedernal_branco	99.0
00953332-a	de_ollo	99.0
00953332-a	con_ollo	99.0
14440875-n	decadencia	99.0
02058794-a	inseguro	99.0
02058794-a	perigoso	99.0
14631502-n	bismuto	99.0
14631502-n	Bi	99.0
14631502-n	número_atómico_83	99.0
10842923-n	Vincenzo_Bellini	99.0
10340312-n	instrumentista	99.0
10340312-n	músico	99.0
08046759-n	Asociación_para_a_Defensa_do_Ulster	99.0
01949859-a	paifoco	99.0
10935745-n	Karen_Blixen	99.0
13424643-n	aclimatación	99.0
15022171-n	globulina	99.0
03133538-n	louza	99.0
03133538-n	vaixela	99.0
01849288-a	pretensioso	99.0
00060397-a	non_adornado	99.0
00060397-a	non_decorado	99.0
11198981-n	Vladimir_Nabokov	99.0
14945725-n	sales_amargos	99.0
14945725-n	sales_de_Epsom	99.0
11058633-n	Herbert_Hoover	99.0
11058633-n	Herbert_Clark_Hoover	99.0
10882089-n	Caravaggio	99.0
13893502-n	acimut	99.0
10817935-n	Sherwood_Anderson	99.0
02024928-a	suntuoso	99.0
02437616-n	llama	99.0
01670221-a	organizado	99.0
02012333-a	reverencial	99.0
15096524-n	acetato_de_cobre	99.0
04270276-n	bar_clandestino	99.0
14947125-n	bronce_ao_manganeso	99.0
14947125-n	latón_de_alta_resistencia	99.0
11986306-n	leituga	99.0
07334876-n	estrago	99.0
11182098-n	John_Mitchell	99.0
05368874-n	vena_hemizygos	99.0
05368874-n	vea_hemiácigos	99.0
03210552-n	dispensario	99.0
01234527-a	inclinado	99.0
09166534-n	Silesia	99.0
11127188-n	León_I	99.0
05586446-n	endoesqueleto	99.0
10146002-n	sobriño_neto	99.0
00878648-n	ollada	99.0
02152848-a	non_compartido	99.0
00372111-a	marrón	99.0
00372111-a	pardo	99.0
08024732-n	IRA	99.0
08024732-n	IRA_Provisional	99.0
08024732-n	Exército_Republicano_Irlandés_Provisional	99.0
05538215-n	ollo_do_cu	99.0
11387060-n	Charles_Wilkes	99.0
06833663-n	x	99.0
05535484-n	intestino_groso	99.0
02357115-a	insalvábel	99.0
02357115-a	insalvable	99.0
11213323-n	Lorenz_Oken	99.0
05567381-n	dedo_furabolos	99.0
05567381-n	dedo_índice	99.0
13814041-n	maternidade	99.0
04419315-n	teofilina	99.0
05606528-n	albuxínea	99.0
05970311-n	empirismo	99.0
14636988-n	erbio	99.0
14636988-n	número_atómico_68	99.0
14636988-n	Er	99.0
05590740-n	músculo_teres	99.0
05590740-n	teres	99.0
05590740-n	músculo_rendondo	99.0
00810481-a	non_dinámico	99.0
00810481-a	pasivo	99.0
10359759-n	nómade	99.0
08761244-n	Dinamarca	99.0
01599228-a	hipotenso	99.0
00197891-a	traseiro	99.0
00197891-a	de_atrás	99.0
05408908-n	gastrina	99.0
05408908-n	secretina_gastrina	99.0
01980796-a	esquemático	99.0
10900730-n	Mark_Twain	99.0
00733541-a	envexable	99.0
00733541-a	envexábel	99.0
08971554-n	Maputo	99.0
02123812-a	servible	99.0
02123812-a	útil	99.0
02123812-a	servíbel	99.0
11121876-n	Mary_Leakey	99.0
03899612-n	pátina	99.0
02713594-n	anexo	99.0
08191987-n	Armada_dos_Estados_Unidos	99.0
03017428-n	cheminea	99.0
11141709-n	Joe_Louis	99.0
05354381-n	arteria_renalis	99.0
05354381-n	arteria_renal	99.0
03056304-a	consular	99.0
05398871-n	paralinina	99.0
05398871-n	carioquilema	99.0
05398871-n	cariolinfa	99.0
15102894-n	ollo	99.0
00269486-a	non_cristalino	99.0
09604345-n	Tío_Sam	99.0
14944617-n	Chemical_Mace	99.0
14944617-n	Mace	99.0
09073442-n	Key_West	99.0
00966477-a	descoñecido	99.0
00966477-a	estraño	99.0
04963588-n	roibén	99.0
04963588-n	carmesí	99.0
02498507-a	distópico	99.0
04874939-n	natureza_enganosa	99.0
09292189-n	Carro_Maior	99.0
09292189-n	Osa_Maior	99.0
09292189-n	Hélice	99.0
08813586-n	Gran_Canal_de_Venecia	99.0
11274103-n	Rupert	99.0
11274103-n	Príncipe_Rupert	99.0
00348198-a	conmutable	99.0
00348198-a	conmutábel	99.0
14895807-n	resina_dammar	99.0
14895807-n	dammar	99.0
14895807-n	resina_de_dammar	99.0
08362775-n	plutocracia	99.0
00292448-a	xemelgo	99.0
00292448-a	idéntico	99.0
00292448-a	monocorial	99.0
00292448-a	monoovular	99.0
00642934-a	civil	99.0
14641797-n	iodo-131	99.0
01944492-a	posíbel	99.0
01944492-a	posible	99.0
08816807-n	Kosovo	99.0
11272523-n	Peyton_Rous	99.0
11272523-n	Francis_Peyton_Rous	99.0
01771535-v	experimentar	99.0
01771535-v	sentir	99.0
01763594-a	permisivo	99.0
02315938-v	herdar	99.0
14768989-n	asafétida	99.0
06876771-n	xesto	99.0
10924452-n	Dwight_Davis	99.0
15012999-n	sal_biliar	99.0
09701603-n	inglés	99.0
02157226-a	miope	99.0
02206998-a	cuadraxésimo	99.0
01900349-a	puntual	99.0
01900349-a	exacto	99.0
14991106-n	laca	99.0
13657849-n	picómetro	99.0
14365356-n	febre	99.0
00985909-a	non_meticuloso	99.0
00985909-a	flexible	99.0
00985909-a	flexíbel	99.0
00772360-a	sen_criterio	99.0
00772360-a	non_esixente	99.0
11236188-n	Henri_Pitot	99.0
14912245-n	cloropreno	99.0
06179290-n	neurolingüística	99.0
10630188-n	conferenciante	99.0
10630188-n	orador	99.0
07523180-n	vergoña	99.0
07523180-n	reserva	99.0
00856342-n	promiscuidade	99.0
11211987-n	Flannery_O'Connor	99.0
01190884-n	arbitrio	99.0
11361585-n	Ralph_Vaughan_Williams	99.0
14701949-n	laca_non_depurada	99.0
14701949-n	sticklac	99.0
00064479-a	vantaxoso	99.0
00064479-a	favorábel	99.0
00064479-a	favorable	99.0
02113335-n	caniche	99.0
08877613-n	Birmingham	99.0
15124713-n	Holoceno	99.0
02053818-a	santo	99.0
02053818-a	sagrado	99.0
02547733-n	pastinaca	99.0
11017295-n	Walter_Gropius	99.0
02667379-n	abadía	99.0
15095639-n	cera_de_goma_laca	99.0
05251789-n	seo_venoso_sclerae	99.0
05251789-n	canle_de_Schlemm	99.0
08102555-n	filo	99.0
07044543-n	fantasía	99.0
00757408-a	insaturado	99.0
02130308-n	guepardo	99.0
04692157-n	tacha	99.0
04692157-n	mancha	99.0
04692157-n	marca	99.0
15076931-n	oligoelemento	99.0
09818343-n	astrónomo	99.0
13747469-n	quince	99.0
00360569-a	sen_dono	99.0
02463154-a	desconfiado	99.0
05472205-n	proceso_coronoide_mandibular	99.0
02021438-n	Caradriformes	99.0
01475526-a	ingobernábel	99.0
01475526-a	ingobernable	99.0
09000272-n	Pretoria	99.0
08805386-n	Ferrara	99.0
14927051-n	ácido_acetoacético	99.0
00733905-a	indesexábel	99.0
00733905-a	indesexable	99.0
00733905-a	non_desexado	99.0
14957795-n	sebo_de_carneiro	99.0
14644654-n	número_atómico_25	99.0
14644654-n	manganeso	99.0
