synset	word	csco
00777650-a	disponível	55.0
00777650-a	utilizável	2.1216
03195485-n	pensão	55.0
03195485-n	alojamento	55.0
03195485-n	domiciliação	2.0215
05733583-n	valoração	55.0
05733583-n	avaliação	55.0
00901969-a	substancial	55.0
14375890-n	tensão	55.0
07046339-n	movimento	55.0
02850358-n	casaco	55.0
01800907-v	reduzir	55.0
04622932-n	privacidade	2.1065
04622932-n	intimidade	2.3332
00627004-a	físico	55.0
04520382-n	caravana	55.0
03999992-n	imprensa	55.0
14320218-n	kernicterus	55.0
13874251-n	hemiciclo	2.316
13874251-n	semicírculo	2.184
07176073-n	aceitação	55.0
01282921-a	impressionante	55.0
00028984-a	secreto	55.0
00028984-a	segredo	55.0
06786629-n	conselho	55.0
06786629-n	instrução	55.0
06786629-n	orientação	55.0
02653996-v	acampar	55.0
00812298-v	confrontar	55.0
00812298-v	enfrentar	55.0
02686471-v	levar	2.311
02686471-v	descadastrar	55.0
02686471-v	dar	2.3604
02686471-v	cadastrar	55.0
02686471-v	ir	55.0
01792640-n	galinha	55.0
04931965-n	estrutura	55.0
04931965-n	estruturação	2.3509
01820103-a	positivo	55.0
02134232-v	cortar	55.0
01383394-a	amplo	2.3451
00059413-r	assiduamente	55.0
00101152-a	analfabeto	55.0
03539433-n	ferradura	55.0
01606574-v	apoiar	55.0
01930004-a	neutro	55.0
01930004-a	indiferente	55.0
02224055-v	sacar	55.0
02224055-v	retirar	55.0
02224055-v	remover	55.0
02224055-v	tirar	55.0
01537448-a	medieval	55.0
02815237-n	conta	2.131
14340822-n	colecistite	55.0
01982186-a	simbólico	55.0
01982186-a	emblemático	55.0
02718811-n	antidepressivo	2.2427
02716767-v	acompanhar	55.0
06639674-n	indicador	55.0
06639674-n	índice	55.0
01282023-v	furar	55.0
01140794-v	pescar	55.0
07162680-n	proposição	2.0079
07162680-n	sugestão	55.0
07162680-n	proposta	55.0
07162680-n	oferta	55.0
13659162-n	metro	55.0
00064487-v	massajar	55.0
00091139-r	extremamente	55.0
01472351-a	principal	55.0
00816353-v	replicar	55.0
13757249-n	ritmo	2.3989
13757249-n	passo	2.3474
06271778-n	telecomunicação	55.0
00798491-a	ébrio	55.0
00798491-a	bêbado	55.0
02144644-v	descrever	55.0
02144644-v	caracterizar	55.0
00106277-a	amplo	2.0772
00106277-a	largo	2.2125
05025413-n	volume	55.0
00973530-v	interrogar	55.0
08521267-n	céu	55.0
08521267-n	firmamento	55.0
04979758-n	clareza	55.0
