synset	word	csco
02009993-a	resonante	49.0
00770151-n	mutilación_criminal	49.0
09776079-n	ingeniero_aeroespacial	99.0
00483466-v	armonizar	99.0
00483466-v	proporcionar	99.0
00518653-v	mistificar	99.0
00518653-v	dejar_perplejo	49.0
00518653-v	desconcertar	99.0
02994419-n	adorno_central	49.0
02994419-n	centro_de_mesa	99.0
14811706-n	ácido_crómico	49.0
02252972-n	piojo_del_frijol	99.0
02252972-n	pulgón_de_las_habas	35.0
02252972-n	Aphis_Fabae	99.0
02252972-n	pulgón_negro	99.0
00094788-n	renacimiento_espiritual	49.0
00094788-n	conversión	99.0
02519292-a	clueco	49.0
02230056-v	recaer	99.0
02230056-v	acumularse	99.0
09935793-n	colaboracionista	99.0
04947628-n	viscosidad	49.0
04947628-n	lustre	99.0
04947628-n	suavidad	99.0
00382635-v	trasmutar	49.0
00382635-v	transmutar	59.0
00382635-v	transformarse	49.0
00382635-v	transformar	99.0
00382635-v	transmudar	49.0
08331960-n	tribunal_de_divorcios	49.0
01897607-a	enardecedor	49.0
06573020-n	malware	99.0
04252225-n	quitanieves	89.0
00154837-a	abochornado	49.0
00154837-a	avergonzado	49.0
15096048-n	amarillo_de_cadmio	49.0
14370825-n	metrorragia	99.0
10463943-n	balbuceador	49.0
00197206-v	descornar	49.0
00662318-a	cortado	49.0
12629523-n	eriobotrya	59.0
12629523-n	genus_eriobotrya	49.0
12531552-n	genus_gliricidia	49.0
09988703-n	remolón	49.0
09988703-n	roncero	49.0
07772274-n	castaña	49.0
11959862-n	cynara_cardunculus	99.0
01126564-n	vinificación	99.0
02403030-a	severo	99.0
02403030-a	riguroso	99.0
14722912-n	bronce_de_aluminio	49.0
07201804-n	retrato	99.0
07201804-n	imagen	99.0
07201804-n	representación	99.0
07201804-n	delineación	99.0
07201804-n	caracterización	99.0
07201804-n	retrato_hablado	99.0
07201804-n	descripción_verbal	99.0
07201804-n	descripción	99.0
01445027-v	cornear	49.0
01445027-v	colmillo	99.0
01445027-v	dar_cornadas	99.0
14212670-n	úlcera_gástrica	99.0
14212670-n	úlcera_de_estómago	49.0
10714577-n	lechuguino	49.0
10714577-n	majo	49.0
10714577-n	esnob	49.0
10714577-n	pez_gordo	49.0
10714577-n	pijo	49.0
10714577-n	chuleta	49.0
10714577-n	currutaco	49.0
10714577-n	pituco	49.0
01163495-v	explotar	99.0
14398523-n	esquizofrenia	99.0
01889819-a	altanero	69.0
01889819-a	prepotente	59.0
01889819-a	soberbio	69.0
